Index,Indicator Name,CSV Status,CSV Error Reason,Pine Script Status,Source URL,Last Updated
681,Gaps + Imbalances + Wicks (MTF) - By Leviathan,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T01:45:20.512Z
682,Multpile strategies [LUPOWN],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:47:02.855Z
683,Absorption Bubbles,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:47:50.145Z
684,Auto Fibonacci Retracement Levels MTF,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:50:26.876Z
685,1-2-3 Pattern (Expo),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T01:51:15.914Z
686,NR4 & NR7 with Breakouts [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T01:53:36.137Z
687,Open Interest Stochastic Money Flow Index,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:56:10.633Z
688,CD_Average Daily Range Zones- highs and lows of the day,OK,,OK,https://www.tradingview.com/v/eHhGyI6R/,2026-07-08T01:58:52.864Z
689,Custom Indicator Clearly Shows If Bulls or Bears are in Control!,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:59:41.113Z
690,UT Bot + LinReg Candles (Dual Sensitivity),REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T02:00:28.203Z
691,Market Structures + ZigZag [TradingFinder] CHoCH/BOS - MSS/MSB,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:01:16.534Z
692,Order Blocks Finder [TradingFinder] Major OB | Supply and Demand,OK,,OK,https://www.tradingview.com/v/MRx6ze6n/,2026-07-08T02:03:22.427Z
693,Multi Time Frame Candles with Volume Info / 3D,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:04:08.481Z
694,Indicator: Zero Lag EMA & a simple trading strategy,OK,,OK,https://www.tradingview.com/v/LTqZz3l9/,2026-07-08T02:06:14.342Z
695,Fair Value Gap Absorption Indicator [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:07:00.607Z
696,CRT | Turtle Soup (ICT),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:08:40.813Z
697,Sessions & ICT Killzones (0xCryptoVince),FAIL,Download failed: Could not find Table view,SKIP,,2026-07-08T02:11:07.394Z
698,DTC - 1.3.6 DTC Trading Club,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:12:23.676Z
699,FIG - Volume Spread analysis,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:13:10.240Z
700,Indicator: Elder Impulse System,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:13:57.724Z
701,ICT Seek & Destroy Profile [TFO],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:16:13.285Z
702,Trailing % Stop,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T02:17:00.714Z
703,Normalized Quantitative Qualitative Estimation nQQE,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T02:17:48.799Z
704,Buying Selling Volume,OK,,OK,https://www.tradingview.com/v/f32HlgbI/,2026-07-08T02:19:54.183Z
705,Dynamic Supply and Demand Zones [AlgoAlpha],REJECTED,Null/empty/NaN value found in indicator columns at row 102,SKIP,,2026-07-08T02:20:41.978Z
706,RedK Trader Pressure Index (TPX v1.0),FAIL,Download failed: CSV verification failed: 'Volume' column is missing or CSV is invalid.,SKIP,,2026-07-08T02:23:11.857Z
707,DARVAS BOX by KIVANÇ fr3762,OK,,OK,https://www.tradingview.com/v/cRqNbBLU/,2026-07-08T02:25:17.400Z
708,RSI Divergence [TORYS],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T02:26:51.575Z
709,Mix1 : Ema Cross + Trend Channel [Gu5],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:27:38.361Z
710,Intraday Volume Swings,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T02:30:11.175Z
711,Twin Range Filter Visualized,OK,,OK,https://www.tradingview.com/v/bCCLOhFE/,2026-07-08T02:34:01.427Z
712,EMA & MA Crossover,OK,,OK,https://www.tradingview.com/v/EI1DSffI/,2026-07-08T02:36:05.266Z
713,Supertrend Channels [LuxAlgo],OK,,OK,https://www.tradingview.com/v/ECSfVssE/,2026-07-08T02:38:09.432Z
714,Range Filter [DW],OK,,OK,https://www.tradingview.com/v/lut7sBgG/,2026-07-08T02:40:15.097Z
715,Ichimoku Kinkō hyō 目均衡表,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T02:41:06.144Z
716,Institutional FVG & Liquidity Range Candle (Expo),FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-08T02:43:09.121Z
717,The Next Pivot [Kioseff Trading],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:43:55.619Z
718,Auto TrendLines [TradingFinder] Support Resistance Signal Alerts,OK,,OK,https://www.tradingview.com/v/hZyLPfdY/,2026-07-08T02:46:02.237Z
719,Cumulative Volume Delta Strategy | Flux Charts,OK,,OK,https://www.tradingview.com/v/95Wwe7ry/,2026-07-08T02:48:11.220Z
720,Premier RSI Oscillator [LazyBear],OK,,OK,https://www.tradingview.com/v/nExsfauf/,2026-07-08T02:50:19.049Z
721,Trend Impulse Channels (Zeiierman),REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T02:51:06.927Z
722,Volume spread for VSA,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-08T02:53:08.408Z
723,CM_OldSchool_Projected_high_Low,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T02:53:55.802Z
724,Auto Fibonacci Retracement - Real-Time (Expo),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:54:42.891Z
725,Tops/Bottoms,FAIL,Download failed: CSV verification failed: 'Volume' column is missing or CSV is invalid.,SKIP,,2026-07-08T02:57:16.183Z
726,Breakout and Retest Signals [AlgoAlpha],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T02:58:03.584Z
727,ATR Bands,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T02:58:49.556Z
728,Support Resistance Classification (VR) [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:00:25.862Z
729,Supertrend MTF Heikin Ashi,FAIL,Download failed: CSV verification failed: 'Volume' column is missing or CSV is invalid.,SKIP,,2026-07-08T03:02:51.644Z
730,Stop loss and Take Profit in $$ example,FAIL,Download failed: Could not find Table view,SKIP,,2026-07-08T03:05:15.453Z
731,SMC Indicator With Webhook,REJECTED,Null/empty/NaN value found in indicator columns at row 300,SKIP,,2026-07-08T03:06:02.581Z
732,10x Bull Vs. Bear VP Intraday Sessions [Kioseff Trading],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:06:49.274Z
733,Open Close Cross Strategy NoRepaint Version by JustUncleL,OK,,OK,https://www.tradingview.com/v/9wda3yUw/,2026-07-08T03:09:02.852Z
734,UT Bot Strategy with Backtesting Range [QuantNomad],OK,,OK,https://www.tradingview.com/v/RHagaXIp/,2026-07-08T03:11:19.313Z
735,VWAP Periodic Close [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:12:05.057Z
736,ICT Killzones [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:12:51.227Z
737,Renko+Moving Average+RMI Alert R3 by JustUncleL,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:13:40.582Z
738,ATR% multiple from 50-MA,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:14:27.604Z
739,OutperformX VCPSwing,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:15:16.056Z
740,R:R Trading System Framework,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:16:04.558Z
741,Swing Failure Signals [AlgoAlpha],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:16:52.624Z
742,Volumatic Fair Value Gaps [BigBeluga],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:17:41.251Z
743,Price & Volume Profile (Expo),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:19:21.825Z
744,Strong Demands & Supplies + Liquidity | Zonas de Compra e Venda,OK,,OK,https://www.tradingview.com/v/LyQgObAq/,2026-07-08T03:21:28.189Z
745,RedK Volume-Accelerated Directional Energy Ratio (RedK VADER),REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:22:14.846Z
746,ICT Implied Fair Value Gap (IFVG) [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:23:02.166Z
747,Parallel Pivot Lines [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:23:49.119Z
748,Turtle Soup ICT Strategy [TradingFinder] FVG + CHoCH/CSD,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:24:36.939Z
749,Smart Money Range [ChartPrime],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:25:24.925Z
750,Chandelier Stop,OK,,OK,https://www.tradingview.com/v/mjBdRGXe/,2026-07-08T03:28:22.167Z
751,Fibonacci levels MTF,REJECTED,Null/empty/NaN value found in indicator columns at row 10,SKIP,,2026-07-08T03:29:11.850Z
752,Master Pattern [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:30:01.214Z
753,Liquidity Pools Pro [WillyAlgoTrader],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:30:48.319Z
754,HTF Reversal Divergences [LuxAlgo],OK,,OK,https://www.tradingview.com/v/ZF0M3jqb/,2026-07-08T03:32:55.221Z
755,ABC on Recursive Zigzag [Trendoscope],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:33:41.735Z
756,RSI Tops and Bottoms,OK,,OK,https://www.tradingview.com/v/H61RQGdR/,2026-07-08T03:36:39.089Z
757,Key Levels Suite - By Leviathan,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:37:25.047Z
758,Extreme Trend Reversal Points [HeWhoMustNotBeNamed],OK,,OK,https://www.tradingview.com/v/eBB5mW6b/,2026-07-08T03:39:32.622Z
759,CM_Modified_Heikin-Ashi_TrendBars,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:40:17.983Z
760,Previous Day Week Highs & Lows,OK,,OK,https://www.tradingview.com/v/Lw708Lif/,2026-07-08T03:44:08.657Z
761,LongBuyLongSellIndicator,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:45:24.197Z
762,GMMA,OK,,OK,https://www.tradingview.com/v/bIEW7Sm9/,2026-07-08T03:47:32.254Z
763,Breakout Pattern Setup [WillyAlgoTrader],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:49:09.671Z
764,True Breakout Pattern [TradingFinder] Breakout Signal Indicator,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:49:58.457Z
765,Strat Assistant,FAIL,Download failed: CSV verification failed: 'Volume' column is missing or CSV is invalid.,SKIP,,2026-07-08T03:52:43.983Z
766,Luxy BIG beautiful Dynamic ORB,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T03:54:22.865Z
767,Inverse Fisher Transform on CCI Version 2,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-08T03:56:27.695Z
768,Liquidity Trendline With Signals [BigBeluga],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T03:57:16.014Z
769,Inducement / Stop Hunt [TFO],FAIL,Download failed: Could not find Table view,SKIP,,2026-07-08T03:59:30.368Z
770,ICT Sessions [Killzones],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:00:18.690Z
771,Super Smoothed MACD for CRYPTO by KIVANÇ fr3762,OK,,OK,https://www.tradingview.com/v/SlCjQY3v/,2026-07-08T04:03:22.529Z
772,ATR+ (Stop Loss Indicator),FAIL,Download failed: CSV verification failed: 'Volume' column is missing or CSV is invalid.,SKIP,,2026-07-08T04:05:52.528Z
773,Divergence Screener [Trendoscope®],OK,,OK,https://www.tradingview.com/v/zewvHAvQ/,2026-07-08T04:08:52.407Z
774,Volume Supply and Demand Zones,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-08T04:11:50.838Z
775,Triangular Momentum Oscillator & Real Time Divergences [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:12:38.476Z
776,Market Structure (Intrabar) [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:14:16.147Z
777,Forecast Oscillator,OK,,OK,Not Available,2026-07-08T04:15:49.691Z
778,Premium & Discount Delta Volume [BigBeluga],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:16:35.936Z
779,Price Action Toolkit | Flux Charts,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:17:52.823Z
780,Grid Bot Simulator,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:18:38.906Z
781,Matrix Series,OK,,OK,https://www.tradingview.com/v/2X2cVLhb/,2026-07-08T04:20:54.181Z
782,KDJ Indicator - @iamaltcoin,OK,,OK,https://www.tradingview.com/v/h51ZIRlX/,2026-07-08T04:24:44.206Z
783,Extrapolated Pivot Connector - Lets Make Support And Resistances,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:25:31.795Z
784,CM_Stochastic Highlight Bars,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:26:20.119Z
785,CCT Bollinger Band Oscillator,OK,,OK,https://www.tradingview.com/v/iA4XGCJW/,2026-07-08T04:28:30.721Z
786,VOLUME WEIGHTED MACD V2 VWMACDV2 BY KIVANÇ fr3762,OK,,OK,https://www.tradingview.com/v/wVe6AfGA/,2026-07-08T04:31:30.727Z
787,Smart Orderblocks / Supply and Demand (@JP7FX),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:32:16.864Z
788,Order Block Finder,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:33:59.529Z
789,[STRATEGY][RS]ZigZag PA Strategy V4.1,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:34:50.697Z
790,Volume Profile Bar-Magnified Order Blocks [MyTradingCoder],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:35:36.879Z
791,Momentum Acceleration by DGT,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:37:12.996Z
792,Heiken Ashi Candles,OK,,OK,https://www.tradingview.com/v/mdWsHY8m/,2026-07-08T04:39:18.525Z
793,Ribbon for Scalping 5 to 15 min timeframes,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-08T04:41:27.225Z
794,VWAP Volume Profile [BigBeluga],FAIL,Download failed: Could not find Table view,SKIP,,2026-07-08T04:43:31.903Z
795,VWAP MTF (Multi Timeframe),REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:44:17.525Z
796,MACD & RSI Overlay (Expo),REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:45:53.188Z
797,CM_Pivot Points_Custom,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:46:39.213Z
798,Range Sentiment Profile [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:48:15.317Z
799,Previous Highs & Lows [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:49:00.787Z
800,Delta Volume Candles [LucF],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:49:47.226Z
801,ICT Auto-Validated SMC,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:50:32.784Z
802,Clusters Volume Profile [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:51:18.407Z
803,Smart Money Volume Index [AlgoAlpha],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:52:04.533Z
804,Volume Footprint [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:53:39.958Z
805,Poor man's volume clusters,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:54:26.290Z
806,Liquidity Levels [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:55:11.735Z
807,Machine Learning: Logistic Regression,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:55:58.329Z
808,Stochastic Divergence,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:56:44.902Z
809,Volume Profile Plus,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T04:58:19.567Z
810,Asian Range by Nico948,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:59:04.864Z
811,Delta Zones Buy/Sell Pressure,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T04:59:50.577Z
812,Wolfe Scanner (Multi - zigzag) [HeWhoMustNotBeNamed],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T05:00:36.145Z
813,Market Structure (Breakers) [LuxAlgo],OK,,OK,https://www.tradingview.com/v/cONRD5q4/,2026-07-08T05:02:40.130Z
814,Backtesting & Trading Engine [PineCoders],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T05:03:26.905Z
815,VWAP/MVWAP/EMA CROSSOVER,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T05:04:12.735Z
816,Engulfing Candle Indicator,OK,,OK,https://www.tradingview.com/v/YrudGA12/,2026-07-08T05:07:29.263Z
817,Anchored Volume Profile by DGT,REJECTED,Null/empty/NaN value found in indicator columns at row 10,SKIP,,2026-07-08T05:08:16.025Z
818,Three Drive Pattern Detector [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T05:09:03.511Z
819,Volume Analysis - Heatmap and Volume Profile,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T05:09:51.768Z
820,Vix FIX / StochRSI Strategy,OK,,OK,https://www.tradingview.com/v/TDxSLJRA/,2026-07-08T05:12:48.658Z
823,Code for All 4 Forex Sessions W/ Background Highlight!!!,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T09:18:22.983Z
824,Demand & Supply Zones [eyes20xx],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T09:19:16.918Z
825,Waindrops [Makit0],OK,,OK,https://www.tradingview.com/v/dJr8hv4v/,2026-07-08T09:21:31.821Z
826,Swing High/Low (ZigZag) [ChartPrime],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T09:22:24.588Z
827,Machine Learning Supertrend [Aslan],OK,,OK,https://www.tradingview.com/v/9SgtsBck/,2026-07-08T09:25:45.858Z
828,Fair value bands / Flowly Indicators,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T09:27:40.064Z
829,Retest Support Resistance Signals [ChartPrime],OK,,OK,https://www.tradingview.com/v/E4joH77u/,2026-07-08T09:29:56.233Z
830,ATR Trailing Stoploss,OK,,OK,https://www.tradingview.com/v/sLXhpDO8/,2026-07-08T09:32:11.633Z
831,Market Trend Levels Detector [BigBeluga],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T09:33:02.665Z
832,ICT HTF Candles [Source Code] (fadi),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T12:48:25.598Z
833,SMC Order Block [Truth Indie],REJECTED,Null/empty/NaN value found in indicator columns at row 71,SKIP,,2026-07-08T12:50:13.455Z
841,"Smart Trader, Episode 03, by Ata Sabanci, Candles and Tradelines",REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T13:03:56.644Z
834,Candlesticks Patterns Identified,OK,,OK,https://www.tradingview.com/v/BK4lEoKq/,2026-07-08T12:53:13.946Z
835,PRO Scalper,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T12:54:30.886Z
836,Trend Following Moving Averages,OK,,OK,https://www.tradingview.com/v/9UiewdMD/,2026-07-08T12:57:25.969Z
837,Change in State of Delivery (CISD) [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T12:58:22.471Z
838,BITCOIN KILL ZONES v2,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T13:00:52.668Z
839,Volume Divergence by MM,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:02:06.378Z
840,ICHIMOKU Kinko Hyo by KIVANC fr3762,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:03:04.530Z
842,[imba]lance algo,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:04:51.405Z
843,Inverse FVG with Rejections [TFO],OK,,OK,https://www.tradingview.com/v/arQP5Q2f/,2026-07-08T13:07:02.429Z
844,Market Structure Trend Targets [ChartPrime],REJECTED,Null/empty/NaN value found in indicator columns at row 6,SKIP,,2026-07-08T13:07:49.181Z
845,"Intraday TS ,BB + Buy/Sell +Squeeze Mom.+ adx-dmi",REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:08:37.352Z
846,Entry points,OK,,OK,https://www.tradingview.com/v/8jUa1ag1/,2026-07-08T13:10:50.181Z
847,Multi Timeframe Support and Resistance [ABA Invest],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:11:37.338Z
848,Machine Learning Price Target Prediction Signals [AlgoAlpha],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:12:30.824Z
849,Moving Averages as Support Resistance MTF,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:13:21.833Z
850,Higher Timeframe High & Low [ChartPrime],REJECTED,Null/empty/NaN value found in indicator columns at row 8,SKIP,,2026-07-08T13:14:18.345Z
851,ICT Venom Trading Model [TradingFinder] SMC NY Session 2025Setup,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T13:15:15.282Z
853,Bull Bear Power Trend,OK,,OK,https://www.tradingview.com/v/wjlDy5tV/,2026-07-08T11:14:59.692Z
854,Lorentzian Classification Strategy,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T11:15:57.245Z
855,"이동평균선7개(SMA,EMA,SMMA) + 볼린저밴드 + 일목균형표 Multi-MA & BB & Ichimoku",REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T11:16:51.195Z
856,Machine Learning: Gaussian Process Regression [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T11:17:48.415Z
857,Pivot Points High Low (HH/HL/LH/LL) [Anan],REJECTED,Null/empty/NaN value found in OHLCV columns at row 2,SKIP,,2026-07-08T11:19:43.272Z
858,MACD Divergences by @DaviddTech,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T11:20:37.182Z
859,ADR% - Average Daily Range % by MikeC (AKA TheScrutiniser),OK,,OK,https://www.tradingview.com/v/6KVjtmOY/,2026-07-08T11:22:57.361Z
860,Risk Management Tool [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T11:23:59.269Z
861,Price Action Trading System v0.3 by JustUncleL,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T11:25:11.654Z
862,Session TPO Market Profile,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T11:26:17.926Z
863,MOST STRATEGY,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:25:17.543Z
864,The Ultimate Buy and Sell Indicator,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:26:08.671Z
865,Pivot Point SuperTrend [Backtest],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:27:06.117Z
866,Xtreme Trend,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:28:11.577Z
867,Double MACD Buy and Sell,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:30:21.930Z
868,TDMacd,OK,,OK,https://www.tradingview.com/v/oJYIelLW/,2026-07-08T13:35:29.785Z
869,Momentum Ghost Machine [ChartPrime],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:36:38.677Z
870,Zero Lag MACD Enhanced - Version 1.2,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:39:45.917Z
871,CDC Action Zone V.2,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T13:43:15.852Z
872,Pekipek's PPO Divergence BETA,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:44:16.586Z
873,RedK EVEREX - Effort Versus Results Explorer,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:45:15.262Z
874,Orderblocks (Nephew_Sam_) - Open source,REJECTED,Null/empty/NaN value found in indicator columns at row 301,SKIP,,2026-07-08T13:46:13.301Z
875,Demo - Demand Supply Zone Indicator,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T13:47:13.002Z
876,Swing Anchored Vwap [BigBeluga],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T13:48:11.389Z
877,Zone Shift [ChartPrime],REJECTED,Null/empty/NaN value found in indicator columns at row 11,SKIP,,2026-07-08T13:49:11.224Z
878,Pivot High/Low Analysis & Forecast [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:50:13.531Z
879,Ehlers Stochastic CG Oscillator [LazyBear],OK,,OK,https://www.tradingview.com/v/aX0yTFaA/,2026-07-08T13:54:25.814Z
880,Liquidity Pools (Nephew_Sam_),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T13:55:38.455Z
881,HTF Liquidity Levels,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T13:56:43.082Z
882,Position Size Calculator,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T13:58:58.493Z
883,Super trend V,OK,,OK,https://www.tradingview.com/v/hUbFSPLh/,2026-07-08T14:01:34.651Z
884,Range Analysis - By Leviathan,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T14:02:34.836Z
